ID,Pred
2026_1101_1341,0.55676
2026_1101_1342,0.52866
2026_1101_1343,0.34861
2026_1101_1344,0.27707
2026_1101_1345,0.12030
2026_1101_1346,0.28240
2026_1101_1347,0.53860
2026_1101_1348,0.23902
2026_1101_1349,0.41647
2026_1101_1350,0.27226
2026_1101_1351,0.55925
2026_1101_1352,0.27613
2026_1101_1353,0.27521
2026_1101_1354,0.77194
2026_1101_1355,0.49830
2026_1101_1356,0.22762
2026_1101_1357,0.46643
2026_1101_1358,0.22165
2026_1101_1359,0.43881
2026_1101_1360,0.52182
2026_1101_1361,0.16143
2026_1101_1362,0.15393
2026_1101_1363,0.35975
2026_1101_1364,0.30384
2026_1101_1365,0.20726
2026_1101_1367,0.44044
2026_1101_1368,0.54706
2026_1101_1369,0.33879
2026_1101_1370,0.29860
2026_1101_1371,0.14695
2026_1101_1372,0.15385
2026_1101_1373,0.20541
2026_1101_1374,0.14913
2026_1101_1375,0.31081
2026_1101_1376,0.18664
2026_1101_1377,0.50048
2026_1101_1378,0.13811
2026_1101_1379,0.35491
2026_1101_1380,0.60777
2026_1101_1381,0.51228
2026_1101_1382,0.23773
2026_1101_1384,0.73267
2026_1101_1385,0.11399
2026_1101_1386,0.23200
2026_1101_1387,0.15160
2026_1101_1388,0.12150
2026_1101_1389,0.32966
2026_1101_1390,0.21087
2026_1101_1391,0.55406
2026_1101_1392,0.46549
2026_1101_1393,0.17714
2026_1101_1394,0.34692
2026_1101_1395,0.13903
2026_1101_1396,0.25849
2026_1101_1397,0.11809
2026_1101_1398,0.19230
2026_1101_1399,0.54565
2026_1101_1400,0.21955
2026_1101_1401,0.20414
2026_1101_1402,0.36031
2026_1101_1403,0.13628
2026_1101_1404,0.40357
2026_1101_1405,0.28089
2026_1101_1406,0.25646
2026_1101_1407,0.19218
2026_1101_1408,0.37809
2026_1101_1409,0.25746
2026_1101_1410,0.23144
2026_1101_1411,0.60965
2026_1101_1412,0.24867
2026_1101_1413,0.37712
2026_1101_1414,0.21912
2026_1101_1415,0.50094
2026_1101_1416,0.18590
2026_1101_1417,0.12448
2026_1101_1418,0.42735
2026_1101_1419,0.76717
2026_1101_1420,0.23392
2026_1101_1421,0.42363
2026_1101_1422,0.51408
2026_1101_1423,0.17138
2026_1101_1424,0.30273
2026_1101_1425,0.17800
2026_1101_1426,0.24804
2026_1101_1427,0.61084
2026_1101_1428,0.24818
2026_1101_1429,0.16158
2026_1101_1430,0.17093
2026_1101_1431,0.51252
2026_1101_1433,0.16742
2026_1101_1434,0.28525
2026_1101_1435,0.13012
2026_1101_1436,0.45165
2026_1101_1437,0.14501
2026_1101_1438,0.11243
2026_1101_1439,0.18428
2026_1101_1440,0.74172
2026_1101_1441,0.34967
2026_1101_1442,0.68228
2026_1101_1443,0.34654
2026_1101_1444,0.56273
2026_1101_1447,0.45708
2026_1101_1448,0.20666
2026_1101_1449,0.15849
2026_1101_1450,0.22402
2026_1101_1451,0.33041
2026_1101_1452,0.17094
2026_1101_1453,0.38329
2026_1101_1454,0.51047
2026_1101_1455,0.13320
2026_1101_1456,0.33337
2026_1101_1457,0.27554
2026_1101_1458,0.15289
2026_1101_1459,0.32802
2026_1101_1460,0.30503
2026_1101_1461,0.19040
2026_1101_1462,0.23353
2026_1101_1463,0.29766
2026_1101_1464,0.45250
2026_1101_1465,0.21064
2026_1101_1466,0.70182
2026_1101_1467,0.29254
2026_1101_1468,0.51669
2026_1101_1469,0.33788
2026_1101_1470,0.51183
2026_1101_1471,0.23126
2026_1101_1472,0.23646
2026_1101_1473,0.52294
2026_1101_1474,0.31059
2026_1101_1475,0.54158
2026_1101_1476,0.55062
2026_1101_1477,0.64590
2026_1101_1478,0.58067
2026_1101_1479,0.54091
2026_1101_1480,0.47617
2026_1101_1481,0.51764
2026_1102_1103,0.16075
2026_1102_1104,0.11608
2026_1102_1105,0.33897
2026_1102_1106,0.51650
2026_1102_1107,0.32179
2026_1102_1108,0.53965
2026_1102_1110,0.27754
2026_1102_1111,0.20353
2026_1102_1112,0.09917
2026_1102_1113,0.14807
2026_1102_1114,0.35825
2026_1102_1115,0.47872
2026_1102_1116,0.11211
2026_1102_1117,0.16448
2026_1102_1119,0.49063
2026_1102_1120,0.13837
2026_1102_1122,0.21735
2026_1102_1123,0.37231
2026_1102_1124,0.26317
2026_1102_1125,0.17445
2026_1102_1126,0.32325
2026_1102_1127,0.50433
2026_1102_1129,0.16138
2026_1102_1130,0.23253
2026_1102_1131,0.37669
2026_1102_1132,0.18500
2026_1102_1133,0.14392
2026_1102_1135,0.25367
2026_1102_1136,0.39340
2026_1102_1137,0.45617
2026_1102_1138,0.21735
2026_1102_1139,0.14899
2026_1102_1140,0.12347
2026_1102_1141,0.32817
2026_1102_1142,0.29447
2026_1102_1143,0.14446
2026_1102_1144,0.21590
2026_1102_1145,0.42660
2026_1102_1146,0.17092
2026_1102_1148,0.26064
2026_1102_1149,0.27088
2026_1102_1150,0.25145
2026_1102_1151,0.39639
2026_1102_1152,0.53270
2026_1102_1153,0.14047
2026_1102_1154,0.46123
2026_1102_1155,0.14808
2026_1102_1156,0.41106
2026_1102_1157,0.19887
2026_1102_1158,0.20267
2026_1102_1159,0.19259
2026_1102_1160,0.19442
2026_1102_1161,0.30526
2026_1102_1162,0.20813
2026_1102_1163,0.10982
2026_1102_1164,0.58881
2026_1102_1165,0.31152
2026_1102_1166,0.16089
2026_1102_1167,0.50364
2026_1102_1168,0.22855
2026_1102_1169,0.25110
2026_1102_1170,0.34704
2026_1102_1171,0.33618
2026_1102_1172,0.14655
2026_1102_1173,0.16332
2026_1102_1174,0.35603
2026_1102_1175,0.59999
2026_1102_1176,0.27627
2026_1102_1177,0.20780
2026_1102_1178,0.26641
2026_1102_1179,0.20292
2026_1102_1180,0.19983
2026_1102_1181,0.09583
2026_1102_1182,0.16213
2026_1102_1183,0.39261
2026_1102_1184,0.31853
2026_1102_1185,0.24290
2026_1102_1186,0.27219
2026_1102_1187,0.26797
2026_1102_1188,0.19199
2026_1102_1189,0.19815
2026_1102_1190,0.15435
2026_1102_1191,0.28723
2026_1102_1192,0.37454
2026_1102_1193,0.26324
2026_1102_1194,0.12816
2026_1102_1195,0.23647
2026_1102_1196,0.09555
2026_1102_1197,0.33319
2026_1102_1198,0.19338
2026_1102_1199,0.15849
2026_1102_1200,0.18977
2026_1102_1201,0.20749
2026_1102_1202,0.18478
2026_1102_1203,0.21460
2026_1102_1204,0.21057
2026_1102_1205,0.55503
2026_1102_1206,0.14858
2026_1102_1207,0.14418
2026_1102_1208,0.14734
2026_1102_1209,0.31779
2026_1102_1210,0.19180
2026_1102_1211,0.10148
2026_1102_1212,0.40892
2026_1102_1213,0.14481
2026_1102_1214,0.28895
2026_1102_1217,0.19703
2026_1102_1218,0.18909
2026_1102_1219,0.14855
2026_1102_1220,0.12615
2026_1102_1221,0.42297
2026_1102_1222,0.09405
2026_1102_1223,0.35546
2026_1102_1224,0.23956
2026_1102_1225,0.17993
2026_1102_1226,0.28208
2026_1102_1227,0.13133
2026_1102_1228,0.09773
2026_1102_1229,0.18200
2026_1102_1230,0.34242
2026_1102_1231,0.14868
2026_1102_1232,0.23624
2026_1102_1233,0.21914
2026_1102_1234,0.15146
2026_1102_1235,0.10053
2026_1102_1236,0.37104
2026_1102_1237,0.58027
2026_1102_1238,0.44992
2026_1102_1239,0.29872
2026_1102_1240,0.23289
2026_1102_1241,0.18592
2026_1102_1242,0.12263
2026_1102_1243,0.20776
2026_1102_1244,0.14465
2026_1102_1245,0.18918
2026_1102_1246,0.11941
2026_1102_1247,0.24309
2026_1102_1248,0.40161
2026_1102_1249,0.32034
2026_1102_1250,0.30988
2026_1102_1251,0.21115
2026_1102_1252,0.27466
2026_1102_1253,0.27495
2026_1102_1254,0.20732
2026_1102_1255,0.25366
2026_1102_1256,0.17462
2026_1102_1257,0.13127
2026_1102_1258,0.18203
2026_1102_1259,0.33501
2026_1102_1260,0.24021
2026_1102_1261,0.21912
2026_1102_1262,0.28584
2026_1102_1263,0.31442
2026_1102_1264,0.38000
2026_1102_1265,0.17213
2026_1102_1266,0.16853
2026_1102_1267,0.20902
2026_1102_1268,0.24717
2026_1102_1269,0.23854
2026_1102_1270,0.13792
2026_1102_1271,0.52082
2026_1102_1272,0.19970
2026_1102_1273,0.24869
2026_1102_1274,0.13271
2026_1102_1275,0.14662
2026_1102_1276,0.10688
2026_1102_1277,0.10370
2026_1102_1278,0.15123
2026_1102_1279,0.13982
2026_1102_1280,0.16319
2026_1102_1281,0.15246
2026_1102_1282,0.58444
2026_1102_1283,0.24102
2026_1102_1284,0.19471
2026_1102_1285,0.28429
2026_1102_1286,0.14464
2026_1102_1287,0.28810
2026_1102_1288,0.42717
2026_1102_1290,0.74864
2026_1102_1291,0.21277
2026_1102_1292,0.18177
2026_1102_1293,0.21081
2026_1102_1294,0.19726
2026_1102_1295,0.15730
2026_1102_1296,0.50251
2026_1102_1297,0.20721
2026_1102_1298,0.15576
2026_1102_1299,0.36593
2026_1102_1300,0.41348
2026_1102_1301,0.15097
2026_1102_1303,0.28078
2026_1102_1304,0.10725
2026_1102_1305,0.13010
2026_1102_1306,0.52861
2026_1102_1307,0.15888
2026_1102_1308,0.16432
2026_1102_1309,0.23528
2026_1102_1310,0.39970
2026_1102_1311,0.24798
2026_1102_1312,0.35336
2026_1102_1313,0.37976
2026_1102_1314,0.11030
2026_1102_1315,0.30408
2026_1102_1316,0.47171
2026_1102_1317,0.15785
2026_1102_1318,0.34343
2026_1102_1319,0.41156
2026_1102_1320,0.17308
2026_1102_1321,0.14582
2026_1102_1322,0.33753
2026_1102_1323,0.17187
2026_1102_1324,0.21836
2026_1102_1325,0.26970
2026_1102_1326,0.19571
2026_1102_1328,0.16206
2026_1102_1329,0.14301
2026_1102_1330,0.29881
2026_1102_1331,0.36798
2026_1102_1332,0.14531
2026_1102_1333,0.17208
2026_1102_1334,0.17710
2026_1102_1335,0.22826
2026_1102_1336,0.28051
2026_1102_1337,0.28097
2026_1102_1338,0.13786
2026_1102_1339,0.28988
2026_1102_1340,0.18234
2026_1102_1341,0.31981
2026_1102_1342,0.21027
2026_1102_1343,0.28061
2026_1102_1344,0.22988
2026_1102_1345,0.10504
2026_1102_1346,0.18229
2026_1102_1347,0.23710
2026_1102_1348,0.19816
2026_1102_1349,0.25693
2026_1102_1350,0.19720
2026_1102_1351,0.40287
2026_1102_1352,0.18692
2026_1102_1353,0.22487
2026_1102_1354,0.45219
2026_1102_1355,0.26118
2026_1102_1356,0.15369
2026_1102_1357,0.30836
2026_1102_1358,0.14373
2026_1102_1359,0.21602
2026_1102_1360,0.31894
2026_1102_1361,0.15610
2026_1102_1362,0.15356
2026_1102_1363,0.29452
2026_1102_1364,0.26129
2026_1102_1365,0.16343
2026_1102_1367,0.39682
2026_1102_1368,0.43337
2026_1102_1369,0.24294
2026_1102_1370,0.18901
2026_1102_1371,0.11741
2026_1102_1372,0.12780
2026_1102_1373,0.13257
2026_1102_1374,0.14039
2026_1102_1375,0.20059
2026_1102_1376,0.14677
2026_1102_1377,0.26824
2026_1102_1378,0.14019
2026_1102_1379,0.25155
2026_1102_1380,0.28545
2026_1102_1381,0.27812
2026_1102_1382,0.19332
2026_1102_1384,0.50865
2026_1102_1385,0.12003
2026_1102_1386,0.18250
2026_1102_1387,0.14564
2026_1102_1388,0.10978
2026_1102_1389,0.25569
2026_1102_1390,0.21027
2026_1102_1391,0.33747
2026_1102_1392,0.31106
2026_1102_1393,0.14449
2026_1102_1394,0.19356
2026_1102_1395,0.12248
2026_1102_1396,0.16785
2026_1102_1397,0.11880
2026_1102_1398,0.14650
2026_1102_1399,0.29743
2026_1102_1400,0.15511
2026_1102_1401,0.14221
2026_1102_1402,0.23225
2026_1102_1403,0.12165
2026_1102_1404,0.18756
2026_1102_1405,0.20192
2026_1102_1406,0.17676
2026_1102_1407,0.14691
2026_1102_1408,0.21052
2026_1102_1409,0.15284
2026_1102_1410,0.20782
2026_1102_1411,0.34598
2026_1102_1412,0.13841
2026_1102_1413,0.27406
2026_1102_1414,0.17135
2026_1102_1415,0.26548
2026_1102_1416,0.14917
2026_1102_1417,0.11543
2026_1102_1418,0.27930
2026_1102_1419,0.53744
2026_1102_1420,0.15031
2026_1102_1421,0.23554
2026_1102_1422,0.30822
2026_1102_1423,0.14563
2026_1102_1424,0.21286
2026_1102_1425,0.15438
2026_1102_1426,0.19463
2026_1102_1427,0.36662
2026_1102_1428,0.23850
2026_1102_1429,0.14054
2026_1102_1430,0.14514
2026_1102_1431,0.26385
2026_1102_1433,0.13142
2026_1102_1434,0.19077
2026_1102_1435,0.10870
2026_1102_1436,0.22971
2026_1102_1437,0.15214
2026_1102_1438,0.10814
2026_1102_1439,0.17484
2026_1102_1440,0.52851
2026_1102_1441,0.19682
2026_1102_1442,0.68846
2026_1102_1443,0.18761
2026_1102_1444,0.37141
2026_1102_1447,0.24881
2026_1102_1448,0.13957
2026_1102_1449,0.14019
2026_1102_1450,0.24628
2026_1102_1451,0.20225
2026_1102_1452,0.14226
2026_1102_1453,0.27655
2026_1102_1454,0.32223
2026_1102_1455,0.14548
2026_1102_1456,0.22219
2026_1102_1457,0.15494
2026_1102_1458,0.12204
2026_1102_1459,0.27620
2026_1102_1460,0.17072
2026_1102_1461,0.14674
2026_1102_1462,0.18551
2026_1102_1463,0.16303
2026_1102_1464,0.33158
2026_1102_1465,0.19139
2026_1102_1466,0.45668
2026_1102_1467,0.17476
2026_1102_1468,0.38033
2026_1102_1469,0.29082
2026_1102_1470,0.25401
2026_1102_1471,0.24468
2026_1102_1472,0.15730
2026_1102_1473,0.21438
2026_1102_1474,0.27202
2026_1102_1475,0.57336
2026_1102_1476,0.29823
2026_1102_1477,0.43516
2026_1102_1478,0.36705
2026_1102_1479,0.23424
2026_1102_1480,0.26460
2026_1102_1481,0.37351
2026_1103_1104,0.18016
2026_1103_1105,0.82492
2026_1103_1106,0.83743
2026_1103_1107,0.84090
2026_1103_1108,0.85530
2026_1103_1110,0.80853
2026_1103_1111,0.58370
2026_1103_1112,0.12006
2026_1103_1113,0.55482
2026_1103_1114,0.83340
2026_1103_1115,0.85495
2026_1103_1116,0.18570
2026_1103_1117,0.68367
2026_1103_1119,0.82175
2026_1103_1120,0.46418
2026_1103_1122,0.65311
2026_1103_1123,0.76296
2026_1103_1124,0.47485
2026_1103_1125,0.49157
2026_1103_1126,0.77260
2026_1103_1127,0.83345
2026_1103_1129,0.46612
2026_1103_1130,0.59400
2026_1103_1131,0.84578
2026_1103_1132,0.59522
2026_1103_1133,0.67851
2026_1103_1135,0.69560
2026_1103_1136,0.83561
2026_1103_1137,0.83832
2026_1103_1138,0.81838
2026_1103_1139,0.64781
2026_1103_1140,0.30779
2026_1103_1141,0.85853
2026_1103_1142,0.84207
2026_1103_1143,0.51692
2026_1103_1144,0.81776
2026_1103_1145,0.82725
2026_1103_1146,0.72906
2026_1103_1148,0.83785
2026_1103_1149,0.71246
2026_1103_1150,0.82040
2026_1103_1151,0.84986
2026_1103_1152,0.83199
2026_1103_1153,0.46102
2026_1103_1154,0.86427
2026_1103_1155,0.42605
2026_1103_1156,0.86606
2026_1103_1157,0.73874
2026_1103_1158,0.71452
2026_1103_1159,0.75679
2026_1103_1160,0.54296
2026_1103_1161,0.49539
2026_1103_1162,0.71316
2026_1103_1163,0.16105
2026_1103_1164,0.84261
2026_1103_1165,0.73984
2026_1103_1166,0.62294
2026_1103_1167,0.77521
2026_1103_1168,0.68225
2026_1103_1169,0.70444
2026_1103_1170,0.84465
2026_1103_1171,0.81638
2026_1103_1172,0.58439
2026_1103_1173,0.60797
2026_1103_1174,0.86441
2026_1103_1175,0.84692
2026_1103_1176,0.84396
2026_1103_1177,0.57234
2026_1103_1178,0.77636
2026_1103_1179,0.72068
2026_1103_1180,0.62265
2026_1103_1181,0.11156
2026_1103_1182,0.68509
2026_1103_1183,0.67966
2026_1103_1184,0.83603
2026_1103_1185,0.66704
2026_1103_1186,0.83036
2026_1103_1187,0.76595
2026_1103_1188,0.57711
2026_1103_1189,0.80700
2026_1103_1190,0.66364
2026_1103_1191,0.85990
2026_1103_1192,0.83920
2026_1103_1193,0.77782
2026_1103_1194,0.58210
2026_1103_1195,0.80958
2026_1103_1196,0.12702
2026_1103_1197,0.76338
2026_1103_1198,0.60943
2026_1103_1199,0.50010
2026_1103_1200,0.65599
2026_1103_1201,0.58899
2026_1103_1202,0.75089
2026_1103_1203,0.56465
2026_1103_1204,0.79582
2026_1103_1205,0.84207
2026_1103_1206,0.64214
2026_1103_1207,0.58667
2026_1103_1208,0.33487
2026_1103_1209,0.75640
2026_1103_1210,0.67060
2026_1103_1211,0.17508
2026_1103_1212,0.63135
2026_1103_1213,0.51413
2026_1103_1214,0.77558
2026_1103_1217,0.62404
2026_1103_1218,0.64171
2026_1103_1219,0.47150
2026_1103_1220,0.40491
2026_1103_1221,0.83409
2026_1103_1222,0.13947
2026_1103_1223,0.84464
2026_1103_1224,0.66368
2026_1103_1225,0.66237
2026_1103_1226,0.83734
2026_1103_1227,0.58367
2026_1103_1228,0.15110
2026_1103_1229,0.67304
2026_1103_1230,0.83632
2026_1103_1231,0.43117
2026_1103_1232,0.72778
2026_1103_1233,0.69998
2026_1103_1234,0.33054
2026_1103_1235,0.15277
2026_1103_1236,0.84804
2026_1103_1237,0.79007
2026_1103_1238,0.85690
2026_1103_1239,0.83936
2026_1103_1240,0.69554
2026_1103_1241,0.74723
2026_1103_1242,0.27684
2026_1103_1243,0.64427
2026_1103_1244,0.57369
2026_1103_1245,0.61844
2026_1103_1246,0.28062
2026_1103_1247,0.79232
2026_1103_1248,0.84071
2026_1103_1249,0.63007
2026_1103_1250,0.77031
2026_1103_1251,0.72124
2026_1103_1252,0.69082
2026_1103_1253,0.80389
2026_1103_1254,0.70728
2026_1103_1255,0.76159
2026_1103_1256,0.68330
2026_1103_1257,0.30636
2026_1103_1258,0.57863
2026_1103_1259,0.85219
2026_1103_1260,0.83820
2026_1103_1261,0.58835
2026_1103_1262,0.83563
2026_1103_1263,0.75084
2026_1103_1264,0.82984
2026_1103_1265,0.62689
2026_1103_1266,0.48869
2026_1103_1267,0.77172
2026_1103_1268,0.73516
2026_1103_1269,0.67605
2026_1103_1270,0.44880
2026_1103_1271,0.83289
2026_1103_1272,0.50039
2026_1103_1273,0.76149
2026_1103_1274,0.32798
2026_1103_1275,0.51733
2026_1103_1276,0.11533
2026_1103_1277,0.18306
2026_1103_1278,0.64456
2026_1103_1279,0.52594
2026_1103_1280,0.61826
2026_1103_1281,0.49106
2026_1103_1282,0.83031
2026_1103_1283,0.71717
2026_1103_1284,0.68398
2026_1103_1285,0.71331
2026_1103_1286,0.69202
2026_1103_1287,0.83948
2026_1103_1288,0.83148
2026_1103_1290,0.83870
2026_1103_1291,0.64290
2026_1103_1292,0.70619
2026_1103_1293,0.63193
2026_1103_1294,0.74888
2026_1103_1295,0.59919
2026_1103_1296,0.83827
2026_1103_1297,0.77640
2026_1103_1298,0.74325
2026_1103_1299,0.82931
2026_1103_1300,0.86886
2026_1103_1301,0.39448
2026_1103_1303,0.82802
2026_1103_1304,0.26567
2026_1103_1305,0.43390
2026_1103_1306,0.83056
2026_1103_1307,0.43057
2026_1103_1308,0.70829
2026_1103_1309,0.80957
2026_1103_1310,0.85377
2026_1103_1311,0.82105
2026_1103_1312,0.82105
2026_1103_1313,0.84682
2026_1103_1314,0.34228
2026_1103_1315,0.85159
2026_1103_1316,0.87300
2026_1103_1317,0.62241
2026_1103_1318,0.83103
2026_1103_1319,0.85709
2026_1103_1320,0.51694
2026_1103_1321,0.52426
2026_1103_1322,0.83887
2026_1103_1323,0.67057
2026_1103_1324,0.83249
2026_1103_1325,0.79260
2026_1103_1326,0.25849
2026_1103_1328,0.43192
2026_1103_1329,0.61335
2026_1103_1330,0.74833
2026_1103_1331,0.83820
2026_1103_1332,0.69291
2026_1103_1333,0.71881
2026_1103_1334,0.62049
2026_1103_1335,0.67590
2026_1103_1336,0.83439
2026_1103_1337,0.81125
2026_1103_1338,0.65359
2026_1103_1339,0.73613
2026_1103_1340,0.58196
2026_1103_1341,0.80635
2026_1103_1342,0.77221
2026_1103_1343,0.77342
2026_1103_1344,0.59424
2026_1103_1345,0.17071
2026_1103_1346,0.72319
2026_1103_1347,0.79913
2026_1103_1348,0.62080
2026_1103_1349,0.78429
2026_1103_1350,0.67123
2026_1103_1351,0.83514
2026_1103_1352,0.71208
2026_1103_1353,0.64503
2026_1103_1354,0.85714
2026_1103_1355,0.76402
2026_1103_1356,0.57062
2026_1103_1357,0.83153
2026_1103_1358,0.61560
2026_1103_1359,0.82334
2026_1103_1360,0.78730
2026_1103_1361,0.62073
2026_1103_1362,0.60764
2026_1103_1363,0.82609
2026_1103_1364,0.77183
2026_1103_1365,0.27705
2026_1103_1367,0.76567
2026_1103_1368,0.73022
2026_1103_1369,0.68835
2026_1103_1370,0.60181
2026_1103_1371,0.52512
2026_1103_1372,0.58312
2026_1103_1373,0.70341
2026_1103_1374,0.39461
2026_1103_1375,0.63683
2026_1103_1376,0.70970
2026_1103_1377,0.81154
2026_1103_1378,0.31908
2026_1103_1379,0.68195
2026_1103_1380,0.80444
2026_1103_1381,0.83302
2026_1103_1382,0.66927
2026_1103_1384,0.85468
2026_1103_1385,0.24554
2026_1103_1386,0.43739
2026_1103_1387,0.30938
2026_1103_1388,0.21501
